# header: 
#   title: Se076 gamgam resonance data
#   source: Resonancetables
#   date: 2025-12-08
# target: 
#   Z: 34
#   A: 76
#   nuclide: Se076
# reaction: 
#   type: gamgam
#   parameters: 
#   selected value [eV]:  2.300000E-01
#   selected value uncertainty [eV]:  6.000000E-02
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  2.307998E-01
#   relative standard deviation [%]:      0.282944
#   quantity: 
#     type: Compilation
#     average value:  2.300000E-01
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        2.300000E-01   6.000000E-02            96I       1.000000
      RIPL-3                  Compilation          2009        2.300000E-01   6.000000E-02            07I       1.000000
      Mughabghab-2018         Compilation          2018        2.300000E-01   1.800000E-02                      1.000000
#   quantity: 
#     type: EXFOR
#     average value:  2.300000E-01
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      H.Malecki               EXFOR                1969        2.300000E-01   4.000000E-02      40022-020       1.000000
#   quantity: 
#     type: Nuclear data library
#     average value:  2.313330E-01
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        2.313330E-01   0.000000E+00                      1.005796
      jendl5.0                NDL                  2021        2.313330E-01   0.000000E+00                      1.005796
      endfb8.1                NDL                  2024        2.313330E-01   0.000000E+00                      1.005796
      TARES                   NDL                  2025        2.313330E-01   0.000000E+00                      1.005796
      tendl.2025              NDL                  2025        2.313330E-01   0.000000E+00                      1.005796
      jeff4.0                 NDL                  2025        2.313330E-01   0.000000E+00                      1.005796
