# header: 
#   title: I129 gamgam resonance data
#   source: Resonancetables
#   date: 2025-09-08
# target: 
#   Z: 53
#   A: 129
#   nuclide: I129
# reaction: 
#   type: gamgam
#   parameters: 
#   selected value [eV]:  8.700000E-02
#   selected value uncertainty [eV]:  7.000000E-03
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  1.060000E+07
#   relative standard deviation [%]:    299.999939
#   quantity: 
#     type: Compilation
#     average value:  9.250000E-02
#     relative standard deviation [%]:      5.945941
#   datablock: 
#     columns: 8
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-3                  Compilation          2009        8.700000E-02   7.000000E-03            07I       1.000000
      Mughabghab-2018         Compilation          2018        9.800000E-02   3.000000E-03                      1.126437
#   quantity: 
#     type: EXFOR
#     average value:  5.300000E+07
#     relative standard deviation [%]:     99.999992
#   datablock: 
#     columns: 8
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      Noguere                 EXFOR                2002        1.060000E-01   1.520000E-02      226860082       1.218391
      Noguere                 EXFOR                2006        1.060000E+08   1.520000E+07      229480082***************
#   quantity: 
#     type: Nuclear data library
#     average value:  1.011303E-01
#     relative standard deviation [%]:     10.000093
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        1.196810E-01   0.000000E+00                      1.375644
      jendl5.0                NDL                  2021        1.066610E-01   0.000000E+00                      1.225988
      endfb8.1                NDL                  2024        8.671540E-02   0.000000E+00                      0.996729
      TARES                   NDL                  2025        9.790820E-02   0.000000E+00                      1.125382
      tendl.2025              NDL                  2025        9.790820E-02   0.000000E+00                      1.125382
      jeff4.0                 NDL                  2025        9.790820E-02   0.000000E+00                      1.125382
