# Header: 
#   title: 91-PA-233(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-01-22 
# Target: 
#   Z: 91 
#   A: 233 
#   Nuclide: 91-PA-233 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 91 
#   A: 234 
#   Nuclide: 91-PA-234
# Statistics:
#   Thermal Simple Mean       |  Simple Stdev        : 4.12800E+01  |   4.12858E+00   (N = 3)
#   Thermal Weighted Mean    +/- Weighted Error      : 3.93989E+01 +/-  9.75872E-01   (N = 3)
#   MXW Simple Mean           |  Simple Stdev        : 4.73500E+01  |   1.53826E+01   (N = 4)
#   MXW Weighted Mean        +/- Weighted Error      : 3.32999E+01 +/-  9.50110E-01   (N = 4)
#   SPA Simple Mean           |  Simple Stdev        : 8.40200E+01  |   5.30768E+01   (N = 8)
#   SPA Weighted Mean        +/- Weighted Error      : 3.64575E+01 +/-  1.36776E+00   (N = 8)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
12302-005-0         J.Halperin              1962   2.5300E-08   0.0000E+00   4.6000E+01   5.0000E+00                
10083-004-0         J.C.Connor              1970   2.5300E-08   0.0000E+00   3.9500E+01   1.2000E+00                
22941-026-0         A.Letourneau            2009   2.5300E-08   0.0000E+00   3.8340E+01   1.7800E+00                
12299-008-0         R.R.Smith               1955   2.5300E-08   0.0000E+00   6.8000E+01   6.0000E+00     MXW        
12302-002-0         J.Halperin              1962   2.5300E-08   0.0000E+00   4.8000E+01   5.0000E+00     MXW        
12302-003-0         J.Halperin              1962   2.5300E-08   0.0000E+00   4.2000E+01   5.0000E+00     MXW        
10083-003-0         J.C.Connor              1970   2.5300E-08   0.0000E+00   3.1400E+01   1.0000E+00     MXW        
12295-002-0         L.I.Katzin              1946   2.5300E-08   0.0000E+00   3.7000E+01   1.4000E+01     SPA        
12309-002-0         L.I.Katzin              1953   2.5300E-08   0.0000E+00   5.5000E+01   6.0000E+00     SPA        
12299-010-0         R.R.Smith               1955   2.5300E-08   0.0000E+00   1.0700E+02   1.0000E+01     SPA        
12301-002-0         J.Halperin              1956   2.5300E-08   0.0000E+00   1.2800E+02   2.0000E+01     SPA        
12301-003-0         J.Halperin              1956   2.5300E-08   0.0000E+00   1.5100E+02   2.0000E+01     SPA        
12301-004-0         J.Halperin              1956   2.5300E-08   0.0000E+00   1.4000E+02   2.0000E+01     SPA        
12011-021-0         T.A.Eastwood            1958   2.5300E-08   0.0000E+00   2.0000E+01   4.0000E+00     SPA        
22941-025-0         A.Letourneau            2009   2.5300E-08   0.0000E+00   3.4160E+01   1.5400E+00     SPA        
# ------------------
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
V1002-570-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.9500E+01   1.2000E+00           RECOM
# ------------------
#

# Header: 
#   title: 91-PA-233(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-01-22 
# Target: 
#   Z: 91 
#   A: 233 
#   Nuclide: 91-PA-233 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 91 
#   A: 234 
#   Nuclide: 91-PA-234-G
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 2.20000E+01  |   4.24264E+00   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      : 2.11600E+01 +/-  2.40000E+00   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 3.20000E+01  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
12299-003-0         R.R.Smith               1955   2.5300E-08   0.0000E+00   2.5000E+01   4.0000E+00     MXW        
12256-003-0         T.A.Eastwood            1960   2.5300E-08   0.0000E+00   1.9000E+01   3.0000E+00     MXW        
12299-004-0         R.R.Smith               1955   2.5300E-08   0.0000E+00   3.2000E+01   5.0000E+00     SPA        
# ------------------
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
V1002-570-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.9400E+01   3.0000E+00           RECOM
# ------------------
#

# Header: 
#   title: 91-PA-233(N,G) thermal cross section 
#   source: EXFOR 
#   date created: 2025-01-22 
# Target: 
#   Z: 91 
#   A: 233 
#   Nuclide: 91-PA-233 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z: 91 
#   A: 234 
#   Nuclide: 91-PA-234-M
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 3.15000E+01  |   1.62635E+01   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      : 2.89756E+01 +/-  3.12348E+00   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 7.50000E+01  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
12299-005-0         R.R.Smith               1955   2.5300E-08   0.0000E+00   4.3000E+01   5.0000E+00     MXW        
12256-002-0         T.A.Eastwood            1960   2.5300E-08   0.0000E+00   2.0000E+01   4.0000E+00     MXW        
12299-006-0         R.R.Smith               1955   2.5300E-08   0.0000E+00   7.5000E+01   9.0000E+00     SPA        
# ------------------
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
V1002-570-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.0100E+01   3.2000E+00           RECOM
# ------------------
#

